id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27262,"AQA-No7, Great mattress, high speed internet",37177,Emmanouil,,ΑΜΠΕΛΟΚΗΠΟΙ,37.98924,23.765,Entire home/apt,131,1,29,2024-11-18,0.19,1,355,5,00002433111
33945,Spacious Cosy aprtm very close to Metro!,146553,Katerina,,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ,38.00673,23.72775,Entire home/apt,47,4,78,2024-11-11,0.45,2,361,9,00000874421
49489,Ermou 44 - 3bdr apt in the heart of Athens,225612,Stathis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.9767,23.73064,Entire home/apt,200,2,140,2024-07-14,0.86,1,354,4,00000876484
60394,Cosy apartment! Great central Athens location!,290864,Dimitra,,ΣΤΑΔΙΟ,37.96738,23.74038,Entire home/apt,50,6,34,2024-11-02,0.29,1,180,4,01039140005
133835,Studio in upscale/central location,656936,Elena,,ΚΟΛΩΝΑΚΙ,37.97794,23.74371,Entire home/apt,55,3,27,2024-09-15,0.17,1,357,6,00001227000
134340,Neo Pagrati Athens Apartment,659406,Konstantinos,,ΠΑΓΚΡΑΤΙ,37.96405,23.74968,Entire home/apt,39,3,56,2024-10-11,0.35,1,365,4,00002821300
154243,LUSCIOUS ROOF GARDEN IN THE CENTER!,741851,Yagos,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98574,23.73323,Entire home/apt,65,2,215,2024-10-30,1.31,1,364,18,00000532953
155654,"Acropolis Cosy Apartment, Koukaki",712602,Nikos,,ΑΚΡΟΠΟΛΗ,37.96828,23.72906,Entire home/apt,70,2,65,2023-10-14,0.51,2,0,0,00000429243
270611,An Oasis in the Heart of Athens,1416651,Paul,,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ,37.98586,23.72432,Entire home/apt,50,3,46,2023-06-25,0.31,1,364,0,00000040022
270954,"Airy apt next to Plaka, green rooftop w views! EP3",1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,,2,25,2023-09-28,0.16,39,0,0,00002962733
270973,Classy apt - priv. balconies - Athens Centre. EP1,1418201,D & Y Boutique Athens,,ΚΕΡΑΜΕΙΚΟΣ,37.9802,23.72357,Entire home/apt,,2,31,2024-10-05,0.25,39,0,2,00002962680
306234,Athens AVATON - Parthenon Suite,1574876,Agis,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97851,23.72479,Entire home/apt,329,2,690,2024-12-07,4.65,3,313,53,00001465616
308157,#AH32 Grey studio,1585338,Flavia,,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ,37.98729,23.74311,Entire home/apt,59,5,2,2016-04-05,0.02,20,243,0,00002834946
350321,BEAUTIFUL CENTRAL APARTMENT ATHENS,1775281,Christina,,ΠΑΓΚΡΑΤΙ,37.96478,23.74541,Entire home/apt,45,2,288,2024-11-11,1.88,1,351,23,00000505715
361393,Hermes Historical Center apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97774,23.73,Entire home/apt,89,1,219,2024-07-06,1.42,3,192,2,00002514973
401423,Apartment with Leafy Backyard Steps from the Acropolis,745805,Ralou,,ΑΚΡΟΠΟΛΗ,37.96826,23.72777,Entire home/apt,70,2,577,2024-11-20,3.76,1,306,50,00000492384
469140,Our first love #01 | Thiseio Residencies,2289590,Live In Athens,,ΘΗΣΕΙΟ,37.97665,23.7185,Entire home/apt,132,1,112,2024-11-26,0.73,8,332,31,00000546911
474719,Artemis Historical Center cosy apt.,1826598,Apartments Historical Centre,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ,37.97952,23.72999,Entire home/apt,50,1,253,2022-10-19,1.70,3,0,0,00002519361
